structure,operation,n,avg_time_us
unsorted_array,search,500,0.585000
unsorted_array,insert,500,0.006000
unsorted_array,delete,500,0.025500
unsorted_array,max,500,1.128500
unsorted_array,min,500,1.332500
unsorted_array,predecessor,500,2.508000
unsorted_array,successor,500,2.626000
sorted_array,search,500,0.141000
sorted_array,insert,500,3.373500
sorted_array,delete,500,1.792000
sorted_array,max,500,0.004000
sorted_array,min,500,0.020000
sorted_array,predecessor,500,0.143500
sorted_array,successor,500,0.142000
sll_unsorted,search,500,0.833000
sll_unsorted,insert,500,0.075000
sll_unsorted,delete,500,0.867000
sll_unsorted,max,500,1.591500
sll_unsorted,min,500,1.514000
sll_unsorted,predecessor,500,2.735000
sll_unsorted,successor,500,2.789000
sll_sorted,search,500,0.744500
sll_sorted,insert,500,0.285500
sll_sorted,delete,500,2.073500
sll_sorted,max,500,2.055500
sll_sorted,min,500,0.006000
sll_sorted,predecessor,500,0.980000
sll_sorted,successor,500,0.927000
dll_unsorted,search,500,0.983000
dll_unsorted,insert,500,0.092500
dll_unsorted,delete,500,0.041000
dll_unsorted,max,500,1.728500
dll_unsorted,min,500,1.969000
dll_unsorted,predecessor,500,2.412500
dll_unsorted,successor,500,2.536000
dll_sorted,search,500,0.840500
dll_sorted,insert,500,0.081500
dll_sorted,delete,500,0.033500
dll_sorted,max,500,0.004000
dll_sorted,min,500,0.004000
dll_sorted,predecessor,500,0.772000
dll_sorted,successor,500,0.786500
unsorted_array,search,1000,1.270500
unsorted_array,insert,1000,0.005500
unsorted_array,delete,1000,0.025500
unsorted_array,max,1000,2.249000
unsorted_array,min,1000,2.599500
unsorted_array,predecessor,1000,5.800000
unsorted_array,successor,1000,7.381000
sorted_array,search,1000,0.154500
sorted_array,insert,1000,7.191000
sorted_array,delete,1000,3.598500
sorted_array,max,1000,0.004500
sorted_array,min,1000,0.004000
sorted_array,predecessor,1000,0.159000
sorted_array,successor,1000,0.154500
sll_unsorted,search,1000,1.905500
sll_unsorted,insert,1000,0.131500
sll_unsorted,delete,1000,2.125500
sll_unsorted,max,1000,3.980000
sll_unsorted,min,1000,3.861500
sll_unsorted,predecessor,1000,6.712000
sll_unsorted,successor,1000,6.786500
sll_sorted,search,1000,1.685500
sll_sorted,insert,1000,0.078000
sll_sorted,delete,1000,3.896000
sll_sorted,max,1000,4.395500
sll_sorted,min,1000,0.005000
sll_sorted,predecessor,1000,1.993000
sll_sorted,successor,1000,1.841000
dll_unsorted,search,1000,1.586500
dll_unsorted,insert,1000,0.074500
dll_unsorted,delete,1000,0.033500
dll_unsorted,max,1000,3.732500
dll_unsorted,min,1000,4.819000
dll_unsorted,predecessor,1000,7.440500
dll_unsorted,successor,1000,6.031000
dll_sorted,search,1000,1.617500
dll_sorted,insert,1000,0.078000
dll_sorted,delete,1000,0.044500
dll_sorted,max,1000,0.004500
dll_sorted,min,1000,0.004000
dll_sorted,predecessor,1000,2.114000
dll_sorted,successor,1000,1.839500
unsorted_array,search,2000,4.404500
unsorted_array,insert,2000,0.009000
unsorted_array,delete,2000,0.040000
