structure,operation,n,avg_time_us
unsorted_array,search,500,0.165385
unsorted_array,insert,500,0.000135
unsorted_array,delete,500,0.017775
unsorted_array,max,500,0.287610
unsorted_array,min,500,0.290380
unsorted_array,predecessor,500,1.137710
unsorted_array,successor,500,1.358680
sorted_array,search,500,0.066770
sorted_array,insert,500,0.058310
sorted_array,delete,500,0.112755
sorted_array,max,500,0.001685
sorted_array,min,500,0.002245
sorted_array,predecessor,500,0.093230
sorted_array,successor,500,0.072855
sll_unsorted,search,500,0.338260
sll_unsorted,insert,500,0.016625
sll_unsorted,delete,500,0.452475
sll_unsorted,max,500,0.593735
sll_unsorted,min,500,0.595075
sll_unsorted,predecessor,500,1.435185
sll_unsorted,successor,500,1.778845
sll_sorted,search,500,0.325110
sll_sorted,insert,500,0.018145
sll_sorted,delete,500,0.749950
sll_sorted,max,500,0.642905
sll_sorted,min,500,0.001810
sll_sorted,predecessor,500,0.339220
sll_sorted,successor,500,0.321260
dll_unsorted,search,500,0.304770
dll_unsorted,insert,500,0.016825
dll_unsorted,delete,500,0.011940
dll_unsorted,max,500,0.630230
dll_unsorted,min,500,0.601585
dll_unsorted,predecessor,500,1.469905
dll_unsorted,successor,500,1.557370
dll_sorted,search,500,0.363620
dll_sorted,insert,500,0.033405
dll_sorted,delete,500,0.019685
dll_sorted,max,500,0.001875
dll_sorted,min,500,0.001615
dll_sorted,predecessor,500,0.337925
dll_sorted,successor,500,0.416350
unsorted_array,search,1000,0.595805
unsorted_array,insert,1000,0.000200
unsorted_array,delete,1000,0.018135
unsorted_array,max,1000,0.612760
unsorted_array,min,1000,0.600260
unsorted_array,predecessor,1000,2.674015
unsorted_array,successor,1000,2.419550
sorted_array,search,1000,0.074950
sorted_array,insert,1000,0.127830
sorted_array,delete,1000,0.139275
sorted_array,max,1000,0.001750
sorted_array,min,1000,0.001970
sorted_array,predecessor,1000,0.074320
sorted_array,successor,1000,0.078335
sll_unsorted,search,1000,0.634375
sll_unsorted,insert,1000,0.017275
sll_unsorted,delete,1000,0.864395
sll_unsorted,max,1000,1.318870
sll_unsorted,min,1000,1.528760
sll_unsorted,predecessor,1000,3.532000
sll_unsorted,successor,1000,3.280765
sll_sorted,search,1000,0.851630
sll_sorted,insert,1000,0.020355
sll_sorted,delete,1000,1.724345
sll_sorted,max,1000,1.372665
sll_sorted,min,1000,0.001735
sll_sorted,predecessor,1000,0.835075
sll_sorted,successor,1000,1.089840
dll_unsorted,search,1000,0.703620
dll_unsorted,insert,1000,0.016935
dll_unsorted,delete,1000,0.012075
dll_unsorted,max,1000,1.368715
dll_unsorted,min,1000,1.453745
dll_unsorted,predecessor,1000,3.428815
dll_unsorted,successor,1000,3.578100
dll_sorted,search,1000,0.833205
dll_sorted,insert,1000,0.020860
dll_sorted,delete,1000,0.012025
dll_sorted,max,1000,0.002020
dll_sorted,min,1000,0.001760
dll_sorted,predecessor,1000,0.643485
dll_sorted,successor,1000,0.640055
unsorted_array,search,2000,0.651450
unsorted_array,insert,2000,0.000135
unsorted_array,delete,2000,0.017080
unsorted_array,max,2000,1.538470
unsorted_array,min,2000,1.222575
unsorted_array,predecessor,2000,5.409620
unsorted_array,successor,2000,5.222275
sorted_array,search,2000,0.093870
sorted_array,insert,2000,0.673445
sorted_array,delete,2000,0.206775
sorted_array,max,2000,0.002185
sorted_array,min,2000,0.001740
sorted_array,predecessor,2000,0.090115
sorted_array,successor,2000,0.083175
sll_unsorted,search,2000,1.675435
sll_unsorted,insert,2000,0.030130
sll_unsorted,delete,2000,2.583320
sll_unsorted,max,2000,5.705190
sll_unsorted,min,2000,4.312440
sll_unsorted,predecessor,2000,7.558315
sll_unsorted,successor,2000,7.418310
sll_sorted,search,2000,4.569980
sll_sorted,insert,2000,0.019810
sll_sorted,delete,2000,9.282815
sll_sorted,max,2000,9.135770
sll_sorted,min,2000,0.001770
sll_sorted,predecessor,2000,4.328675
sll_sorted,successor,2000,3.723050
dll_unsorted,search,2000,3.624850
dll_unsorted,insert,2000,0.017935
dll_unsorted,delete,2000,0.012625
dll_unsorted,max,2000,7.709245
dll_unsorted,min,2000,7.790465
dll_unsorted,predecessor,2000,11.664480
dll_unsorted,successor,2000,10.919105
dll_sorted,search,2000,3.841805
dll_sorted,insert,2000,0.019985
dll_sorted,delete,2000,0.012785
dll_sorted,max,2000,0.013390
dll_sorted,min,2000,0.001810
dll_sorted,predecessor,2000,4.054540
dll_sorted,successor,2000,3.686840
unsorted_array,search,4000,1.325615
unsorted_array,insert,4000,0.000135
unsorted_array,delete,4000,0.017250
unsorted_array,max,4000,2.718450
unsorted_array,min,4000,2.479625
unsorted_array,predecessor,4000,10.778175
unsorted_array,successor,4000,11.636665
sorted_array,search,4000,0.085300
sorted_array,insert,4000,0.342285
sorted_array,delete,4000,0.270150
sorted_array,max,4000,0.001735
sorted_array,min,4000,0.001790
sorted_array,predecessor,4000,0.090745
sorted_array,successor,4000,0.109630
sll_unsorted,search,4000,4.220150
sll_unsorted,insert,4000,0.035120
sll_unsorted,delete,4000,4.406155
sll_unsorted,max,4000,8.500605
sll_unsorted,min,4000,8.228450
sll_unsorted,predecessor,4000,14.795185
sll_unsorted,successor,4000,14.952105
sll_sorted,search,4000,10.274030
sll_sorted,insert,4000,0.020560
sll_sorted,delete,4000,20.633880
sll_sorted,max,4000,20.983340
sll_sorted,min,4000,0.001790
sll_sorted,predecessor,4000,10.596495
sll_sorted,successor,4000,10.014570
dll_unsorted,search,4000,9.340450
dll_unsorted,insert,4000,0.017650
dll_unsorted,delete,4000,0.014160
dll_unsorted,max,4000,18.572020
dll_unsorted,min,4000,19.010795
dll_unsorted,predecessor,4000,25.994230
dll_unsorted,successor,4000,24.784885
dll_sorted,search,4000,9.261555
dll_sorted,insert,4000,0.019705
dll_sorted,delete,4000,0.012275
dll_sorted,max,4000,0.002455
dll_sorted,min,4000,0.001705
dll_sorted,predecessor,4000,9.474150
dll_sorted,successor,4000,8.936770
unsorted_array,search,8000,2.457070
unsorted_array,insert,8000,0.000170
unsorted_array,delete,8000,0.017175
unsorted_array,max,8000,4.923695
unsorted_array,min,8000,5.006375
unsorted_array,predecessor,8000,23.374040
unsorted_array,successor,8000,23.024340
sorted_array,search,8000,0.107845
sorted_array,insert,8000,0.635045
sorted_array,delete,8000,0.397040
sorted_array,max,8000,0.001805
sorted_array,min,8000,0.001725
sorted_array,predecessor,8000,0.090230
sorted_array,successor,8000,0.098350
sll_unsorted,search,8000,6.795210
sll_unsorted,insert,8000,0.018625
sll_unsorted,delete,8000,7.486835
sll_unsorted,max,8000,14.966530
sll_unsorted,min,8000,15.410975
sll_unsorted,predecessor,8000,29.904655
sll_unsorted,successor,8000,28.264510
sll_sorted,search,8000,23.801500
sll_sorted,insert,8000,0.021705
sll_sorted,delete,8000,46.849030
sll_sorted,max,8000,45.693205
sll_sorted,min,8000,0.001735
sll_sorted,predecessor,8000,24.165365
sll_sorted,successor,8000,22.429830
dll_unsorted,search,8000,22.360650
dll_unsorted,insert,8000,0.019690
dll_unsorted,delete,8000,0.013190
dll_unsorted,max,8000,41.962425
dll_unsorted,min,8000,41.944505
dll_unsorted,predecessor,8000,61.919945
dll_unsorted,successor,8000,66.670975
dll_sorted,search,8000,21.963260
dll_sorted,insert,8000,0.020790
dll_sorted,delete,8000,0.012640
dll_sorted,max,8000,0.002270
dll_sorted,min,8000,0.001720
dll_sorted,predecessor,8000,22.127560
dll_sorted,successor,8000,20.934860
unsorted_array,search,16000,4.975000
unsorted_array,insert,16000,0.000180
unsorted_array,delete,16000,0.017655
unsorted_array,max,16000,9.870910
unsorted_array,min,16000,9.725775
unsorted_array,predecessor,16000,42.479235
unsorted_array,successor,16000,42.912980
sorted_array,search,16000,0.103740
sorted_array,insert,16000,1.702025
sorted_array,delete,16000,0.930995
sorted_array,max,16000,0.001705
sorted_array,min,16000,0.002285
sorted_array,predecessor,16000,0.102405
sorted_array,successor,16000,0.108150
sll_unsorted,search,16000,14.521820
sll_unsorted,insert,16000,0.019910
sll_unsorted,delete,16000,15.766045
sll_unsorted,max,16000,28.824130
