algorithm,n,time_ms
merge_sort_2way,1000,0.148320
merge_sort_3way,1000,0.130180
merge_sort_2way,2000,0.296340
merge_sort_3way,2000,0.272620
merge_sort_2way,4000,0.655800
merge_sort_3way,4000,0.628720
merge_sort_2way,8000,1.576400
merge_sort_3way,8000,1.317500
merge_sort_2way,16000,3.310340
merge_sort_3way,16000,3.140400
merge_sort_2way,32000,6.729400
merge_sort_3way,32000,6.048800
merge_sort_2way,64000,15.392000
merge_sort_3way,64000,12.606620
merge_sort_2way,128000,29.262520
merge_sort_3way,128000,25.959100
merge_sort_2way,256000,69.645340
merge_sort_3way,256000,58.984040
merge_sort_2way,512000,138.492400
merge_sort_3way,512000,117.503700
