algorithm,n,time_ms
merge_sort_2way,1000,0.058514
merge_sort_3way,1000,0.070281
merge_sort_2way,2000,0.130372
merge_sort_3way,2000,0.153667
merge_sort_2way,4000,0.286451
merge_sort_3way,4000,0.321766
merge_sort_2way,8000,0.610468
merge_sort_3way,8000,0.683971
merge_sort_2way,16000,1.313360
merge_sort_3way,16000,1.495043
merge_sort_2way,32000,2.773755
merge_sort_3way,32000,3.109459
merge_sort_2way,64000,6.010076
merge_sort_3way,64000,6.828086
merge_sort_2way,128000,12.892742
merge_sort_3way,128000,14.652117
merge_sort_2way,256000,28.681423
merge_sort_3way,256000,32.111451
merge_sort_2way,512000,56.408449
merge_sort_3way,512000,63.966929
